DATA_ESTRAZIONE;ID_PRODOTTO;CANTINA;NOME_PRODOTTO;SITO_ORIGINE;PREZZO_RILEVATO;PREZZO_SCONTATO;STOCKOUT;LINK_SCRAPING
14/03/2026;AG-AMAR-VP-01;Allegrini;Amarone della Valpolicella Classico DOCG;Xtrawine;75.0;;NO;https://www.xtrawine.com/products/allegrini-amarone-della-valpolicella-classico-2021
14/03/2026;AG-AMAR-VP-01;Allegrini;Amarone della Valpolicella Classico DOCG;Callmewine;75.0;;SI;https://www.callmewine.com/amarone-allegrini-2021-P63347.htm
14/03/2026;AG-AMAR-VP-01;Allegrini;Amarone della Valpolicella Classico DOCG;Bernabei;68.0;62.0;NO;https://www.bernabei.it/amarone-classico-allegrini
14/03/2026;AG-LUGA-VP-01;Allegrini;Lugana Oasi Mantellina DOC;Tannico;16.0;;NO;https://www.tannico.it/products/lugana-doc-oasi-mantellina-2024-allegrini?_pos=2&_sid=31d10b911&_ss=r
14/03/2026;AG-LUGA-VP-01;Allegrini;Lugana Oasi Mantellina DOC;Vino.com;16.3;;NO;https://www.vino.com/dettaglio/lugana-doc-oasi-mantellina-allegrini-2025.html
14/03/2026;AG-LUGA-VP-01;Allegrini;Lugana Oasi Mantellina DOC;Xtrawine;17.0;;NO;https://www.xtrawine.com/products/allegrini-lugana-oasi-mantellina-2024
14/03/2026;AG-LUGA-VP-01;Allegrini;Lugana Oasi Mantellina DOC;Callmewine;15.2;;NO;https://www.callmewine.com/lugana-oasi-mantellina-allegrini-2024-P61107.htm
14/03/2026;AG-LUGA-VP-01;Allegrini;Lugana Oasi Mantellina DOC;Bernabei;14.9;14.9;NO;https://www.bernabei.it/lugana-doc-oasi-mantellina-allegrini
14/03/2026;AG-ROVE-CF-01;Allegrini;La Poja - Corvina Veronese IGT;Tannico;115.0;;NO;https://www.tannico.it/products/veronese-igt-la-poja-2018-allegrini?_pos=10&_sid=31d10b911&_ss=r
14/03/2026;AG-ROVE-CF-01;Allegrini;La Poja - Corvina Veronese IGT;Xtrawine;106.0;;NO;https://www.xtrawine.com/products/allegrini-la-poja-corvina-2019
14/03/2026;AG-ROVE-CF-01;Allegrini;La Poja - Corvina Veronese IGT;Callmewine;112.0;;SI;https://www.callmewine.com/la-poja-allegrini-2019-P63998.htm
14/03/2026;AG-ROVE-CF-01;Allegrini;La Poja - Corvina Veronese IGT;Bernabei;98.0;98.0;NO;https://www.bernabei.it/la-poja-2016-allegrini-cassetta-in-legno
14/03/2026;SM-PROS-BR-01;Santa Margherita;Valdobbiadene Prosecco Superiore DOCG Brut;Tannico;12.0;;NO;https://www.tannico.it/products/valdobbiadene-prosecco-superiore-brut-santa-margherita?_pos=1&_sid=d381782ea&_ss=r
14/03/2026;SM-PROS-BR-01;Santa Margherita;Valdobbiadene Prosecco Superiore DOCG Brut;Vino.com;14.4;;NO;https://www.vino.com/dettaglio/valdobbiadene-prosecco-superiore-brut-ast-santa-margherita.html
14/03/2026;SM-PROS-BR-01;Santa Margherita;Valdobbiadene Prosecco Superiore DOCG Brut;Xtrawine;14.5;;NO;https://www.xtrawine.com/products/santa-margherita-valdobbiadene-prosecco-superiore-brut
